sim_num	time	gamete_num	prop	gamete_value
10	3	2	0.0370502	0.239231
10	3	3	0.0331002	0.396699
11	0	-1	0.5	0.1
11	1	-1	1	0.1
11	2	-1	0.5	0.1
11	3	-1	0	0.1
11	0	0	0.0290818	0
11	0	1	0.0342488	0.11579
11	0	2	0.0370612	0.0486875
11	0	3	0.0438953	0.164478
11	1	0	0.0247418	0
11	1	1	0.0298836	0.11579
11	1	2	0.0266044	0.0486875
11	1	3	0.034876	0.164478
11	2	0	0.0265865	0
11	2	1	0.0318959	0.11579
11	2	2	0.0308086	0.0486875
11	2	3	0.0383544	0.164478
11	3	0	0.036347	0
11	3	1	0.0405021	0.11579
11	3	2	0.0480243	0.0486875
11	3	3	0.0501778	0.164478
12	0	-1	0.5	0.1
12	1	-1	1	0.1
12	2	-1	0.5	0.1
12	3	-1	0	0.1
12	0	0	0.0360523	0
12	0	1	0.0390866	0.150903
12	0	2	0.0429451	0.104552
12	0	3	0.0451317	0.255455
12	1	0	0.0355821	0
12	1	1	0.0386342	0.150903
12	1	2	0.039665	0.104552
12	1	3	0.0461707	0.255455
12	2	0	0.0345871	0
12	2	1	0.0380431	0.150903
12	2	2	0.0404045	0.104552
12	2	3	0.0456105	0.255455
12	3	0	0.0415305	0
12	3	1	0.0439539	0.150903
12	3	2	0.0509513	0.104552
12	3	3	0.0480848	0.255455
13	0	-1	0.5	0.1
13	1	-1	1	0.1
13	2	-1	0.5	0.1
13	3	-1	0	0.1
13	0	0	0.0335818	0
13	0	1	0.0380241	0.0365791
13	0	2	0.0417684	0.157979
13	0	3	0.0468861	0.194558
13	1	0	0.0327639	0
13	1	1	0.0351703	0.0365791
13	1	2	0.0397561	0.157979
13	1	3	0.0460013	0.194558
13	2	0	0.0320497	0
13	2	1	0.0352504	0.0365791
13	2	2	0.0397758	0.157979
13	2	3	0.0461193	0.194558
13	3	0	0.0394843	0
13	3	1	0.0464997	0.0365791
13	3	2	0.0482323	0.157979
13	3	3	0.0527495	0.194558
14	0	-1	0.5	0.1
14	1	-1	1	0.1
14	2	-1	0.5	0.1
14	3	-1	0	0.1
14	0	0	0.0289617	0
14	0	1	0.0334456	0.0536663
14	0	2	0.0375872	0.0959878
14	0	3	0.0440222	0.149654
14	1	0	0.0194881	0
14	1	1	0.0240023	0.0536663
14	1	2	0.0287887	0.0959878
14	1	3	0.0384686	0.149654
14	2	0	0.0229676	0
14	2	1	0.0272707	0.0536663
14	2	2	0.0311786	0.0959878
14	2	3	0.0380158	0.149654
14	3	0	0.0379969	0
14	3	1	0.0431906	0.0536663
14	3	2	0.0476812	0.0959878
14	3	3	0.0533686	0.149654
15	0	-1	0.5	0.1
15	1	-1	1	0.1
15	2	-1	0.5	0.1
15	3	-1	0	0.1
15	0	0	0.0264794	0
15	0	1	0.0321399	0.0244188
15	0	2	0.0388337	0.0200786
15	0	3	0.053174	0.0444974
15	1	0	0.0254673	0
15	1	1	0.0305613	0.0244188
15	1	2	0.0354132	0.0200786
15	1	3	0.0474558	0.0444974
15	2	0	0.0245345	0
15	2	1	0.0293632	0.0244188
