sim_num	time	gamete_num	opti_G
47	0	1	0.0373378
47	0	2	0.0297657
47	0	3	0.0437625
48	0	-1	0.5
48	0	0	0.0228257
48	0	1	0.03101
48	0	2	0.0299396
48	0	3	0.0425628
49	0	-1	0.5
49	0	0	0.0244172
49	0	1	0.0325324
49	0	2	0.0340125
49	0	3	0.0488881
50	0	-1	0.5
50	0	0	0.0195526
50	0	1	0.0286675
50	0	2	0.0288182
50	0	3	0.0443947
51	0	-1	0.5
51	0	0	0.0286998
51	0	1	0.032151
51	0	2	0.0353491
51	0	3	0.0421816
52	0	-1	0.5
52	0	0	0.022758
52	0	1	0.0301607
52	0	2	0.0325982
52	0	3	0.0467877
53	0	-1	0.5
53	0	0	0.0324441
53	0	1	0.0389462
53	0	2	0.0362288
53	0	3	0.0444164
54	0	-1	0.5
54	0	0	0.0306674
54	0	1	0.0363834
54	0	2	0.0364204
54	0	3	0.0450389
55	0	-1	0.5
55	0	0	0.0223139
55	0	1	0.0298797
55	0	2	0.0318659
55	0	3	0.045922
56	0	-1	0.5
56	0	0	0.0234755
56	0	1	0.0334633
56	0	2	0.0320089
56	0	3	0.0479242
57	0	-1	0.5
57	0	0	0.0298628
57	0	1	0.0321146
57	0	2	0.0348266
57	0	3	0.039503
58	0	-1	0.5
58	0	0	0.0293699
58	0	1	0.0342068
58	0	2	0.0353356
58	0	3	0.0432607
59	0	-1	0.5
59	0	0	0.0323929
59	0	1	0.0396101
59	0	2	0.0356766
59	0	3	0.0443573
60	0	-1	0.5
60	0	0	0.0279196
60	0	1	0.0340747
60	0	2	0.0323779
60	0	3	0.0410955
61	0	-1	0.5
61	0	0	0.0240786
61	0	1	0.0362547
61	0	2	0.0293024
61	0	3	0.0449192
62	0	-1	0.5
62	0	0	0.0234146
62	0	1	0.0382716
62	0	2	0.030483
62	0	3	0.0503705
63	0	-1	0.5
63	0	0	0.0315693
63	0	1	0.03672
63	0	2	0.037445
63	0	3	0.0454546
64	0	-1	0.5
64	0	0	0.0278873
64	0	1	0.0327424
64	0	2	0.0372492
64	0	3	0.0479992
65	0	-1	0.5
65	0	0	0.0305998
